Id,Zip Code,Status,Days,Created at
1,131103,enable,5,2/24/2018
2,110079,enable,5,2/24/2018
3,110030,enable,5,2/24/2018
4,110070,enable,5,2/24/2018
5,110501,enable,5,2/24/2018
6,110502,enable,5,2/24/2018
7,110505,enable,5,2/24/2018
8,110510,enable,5,2/24/2018
9,110601,enable,5,2/24/2018
10,110602,enable,5,2/24/2018
11,110603,enable,5,2/24/2018
12,110604,enable,5,2/24/2018
13,110605,enable,5,2/24/2018
14,110609,enable,5,2/24/2018
15,110072,enable,5,2/24/2018
16,110051,enable,5,2/24/2018
17,110075,enable,5,2/24/2018
18,110068,enable,5,2/24/2018
19,110012,enable,5,2/24/2018
20,110028,enable,5,2/24/2018
21,110021,enable,5,2/24/2018
22,110011,enable,5,2/24/2018
23,110016,enable,5,2/24/2018
24,110049,enable,5,2/24/2018
25,110024,enable,5,2/24/2018
26,110094,enable,5,2/24/2018
27,110046,enable,5,2/24/2018
28,110058,enable,5,2/24/2018
29,110061,enable,5,2/24/2018
30,110050,enable,5,2/24/2018
31,110019,enable,5,2/24/2018
32,110048,enable,5,2/24/2018
33,110065,enable,5,2/24/2018
34,110020,enable,5,2/24/2018
35,110080,enable,5,2/24/2018
36,110017,enable,5,2/24/2018
37,110043,enable,5,2/24/2018
38,110071,enable,5,2/24/2018
39,110085,enable,5,2/24/2018
40,110089,enable,5,2/24/2018
41,110104,enable,5,2/24/2018
42,110105,enable,5,2/24/2018
43,110108,enable,5,2/24/2018
44,110109,enable,5,2/24/2018
45,110112,enable,5,2/24/2018
46,110113,enable,5,2/24/2018
47,110114,enable,5,2/24/2018
48,110118,enable,5,2/24/2018
49,110119,enable,5,2/24/2018
50,110120,enable,5,2/24/2018
51,110122,enable,5,2/24/2018
52,110301,enable,5,2/24/2018
53,110302,enable,5,2/24/2018
54,110504,enable,5,2/24/2018
55,110511,enable,5,2/24/2018
56,110512,enable,5,2/24/2018
57,110606,enable,5,2/24/2018
58,110125,enable,5,2/24/2018
59,110027,enable,5,2/24/2018
60,110003,enable,5,2/24/2018
61,110033,enable,5,2/24/2018
62,110044,enable,5,2/24/2018
63,110039,enable,5,2/24/2018
64,110036,enable,5,2/24/2018
65,110093,enable,5,2/24/2018
66,110095,enable,5,2/24/2018
67,110009,enable,5,2/24/2018
68,110054,enable,5,2/24/2018
69,110007,enable,5,2/24/2018
70,110053,enable,5,2/24/2018
71,110023,enable,5,2/24/2018
72,110022,enable,5,2/24/2018
73,110037,enable,5,2/24/2018
74,110038,enable,5,2/24/2018
75,110078,enable,5,2/24/2018
